Title,Description,Rating,Rating Count,Genre,Duration
The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,8.2,1242867,"Comedy, Drama",PT1H43M
Judgment at Nuremberg,"Fictionalized depiction of the 1947 Judges&apos; Trial, the third of twelve trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their acti...",8.3,88391,"Drama, War",PT2H59M
The Kid,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",8.2,138516,"Comedy, Drama, Family",PT1H8M
The Father,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",8.2,204423,"Drama, Mystery",PT1H37M
Shutter Island,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,8.2,1509427,"Drama, Mystery, Thriller",PT2H18M
All About Eve,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,8.2,141989,Drama,PT2H18M
There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",8.2,657076,Drama,PT2H38M
Jurassic Park,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone&apos;s lives, including his grandchildren&apos;s, in danger.",8.2,1096349,"Action, Adventure, Sci-Fi",PT2H7M
Casino,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",8.2,579507,"Crime, Drama",PT2H58M
Top Gun: Maverick,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",8.2,744348,"Action, Drama",PT2H10M
The Sixth Sense,A child psychologist starts treating a young boy with a disturbing secret.,8.2,1079878,"Drama, Mystery, Thriller",PT1H47M
